"Id document","Id du document"
"Custom path to save PDF. Default goes to var/kiwiz/documents","Chemin personnalisable pour stocker les pDF. Par défaut dans var/kiwiz/documents"
"Get the creditmemo PDF from the blockchain","Téléchargez l'avoir depuis Kiwiz"
"Response from API was empty. Check log files","La réponse de l'API était vide. Vérifiez les fichiers de log"
"ID creditmemo","ID de l'avoir"
"Send creditmemo by ID","Synchroniser l'avoir par son identifiant"
"File Hash %1","Hash du fichier %1"
"Block Hash %1","Hash du bloc %1"
"Get the invoice PDF from the blockchain","Téléchargez la facture depuis Kiwiz"
"Run queue for failed synchronizations","Lancer le cron pour les synchronisations échouées"
"Issue happened during processing documents synchronization queue","Un problème est survenu lors de la synchronisation des documents"
"Store id to send alert to","Store ID de la configuration des destinataires"
"Send the alert email for quota threshold","Envoyer l'email pour les alertes de quota"
"Store id to get quota from","Configuration du store ID à charger pour le destinataire de l'alerte"
"Get the quota for the current subscription","Quota pour l'abonnement courant"
"Current usage: %1/%2","Utilisatation:  %1/%2"
"Refresh grid order for statues","Raffraichir les statuts dans les grilles de commande"
"There are no printable documents related to selected orders.","Il n'y a pas de documents imprimables dans les commandes sélectionnées"
"Queue cron started","Queue cron started"
"Queue cron finished","Queue cron finished"
"The install date is not defined. The status cron can't be started","La date d'installation n'est pas définie. Le cron ne se lancera pas. "
"Not defined","Non défini"
"Provided document type is not covered by kiwiz: %s","Ce type de document n'est pas couvert par Kiwiz: %s"
"Impossible to send multiple invoices, please enable ZipArchive extension","Impossible d'imprimer plusieurs documents, activez l'extension ZipArchive"
"Impossible to get the token from the API. Check credentials","La connexion à l'API a échoué. Vérifiez vos identifiants"
"Token not found in Response body: %1","Le Jeton n'a pa été trouvé dans la réponse: %1"
"Error during save of token","Une erreur est survenue lors de l'enregistrement du jeton"
"Method must be defined","La méthode doit être définie"
"Unknown method %1","Méthode inconnue %1"
"Kiwiz API error: Authentification failed. Status code %1, body: %2","L'API Kiwiz à retourné une erreur : L'authentification a échoué. Status code %1, body: %2"
"Kiwiz API error: status code %1, body : %2","L'API Kiwiz à retourné une erreur : status code %1, body : %2"
"The creditmemo has no tax set","L'avoir n'a pas de Taxe"
"Unknown %1 for id %2","Inconnu %1 pour l'id %2"
"%1 have already been certified. File Hash: %2, Block Hash: %3","%1 a déjà été certifié". File Hash: %2, Block Hash: %3"
"The install date is not defined. The %1 can' be synchronized","La date d'installation du module n'a pas été définie. Le %1 ne peut pas être synchronisée"
"The %1 creation date: %2 is earlier than the install date of the module %3","La date de création de %1 : %2 est antérieure à la date d'activation du module %3"
"The item has duplicate entries in queue table. 
            Please clean the table kiwiz_queue","The item has duplicate entries in queue table. 
            Please clean the table kiwiz_queue"
"Invoice could not be loaded","La Facture n'a pas été chargée"
"The invoice has no tax set","La Facture n'a pas de taxe définie"
"The %1 can't be certified. Reason: %2","Le document %1 ne peut pas être certifié: %2"
"Queue processing started. %1 document to be processed","Le processus de resynchronisation a commencé. %1 document à traiter"
"Unknown document type: %1 for queue id %2","Type de document inconnu: %1 pour l'identifiant queue id %2"
"%1 documents synchronized out of %2.","%1 document(s) synchronisé(s) sur %2."
"Object with id ""%1"" does not exist.","Le document avec l'identifiant ""%1"" n'existe pas. "
"Document has been sent to Kiwiz","Le document a été certifié sur Kiwiz"
"Block Hash: %1","Block Hash: %1"
"File Hash: %1","File Hash: %1"
"Error during synchronizing to Kiwiz: Empty response from API","Error during synchronizing to Kiwiz: Empty response from API"
"ongoing synchronization","Synchroisation en cours"
"synchronized","synchronisé"
"not synchronized","pas synchronisé"
"Kiwiz synchronization","Kiwiz certification"
"Invoice ID","ID de la Facture"
"Kiwiz block hash","Kiwiz block hash"
"Kiwiz file hash","Kiwiz file hash"
"Number of tries","Nombre de tentatives de certification"
"Last message","Dernier message"
"Creditmemo ID","Id de l'avoir"
"%1 / %2 used","%1 / %2 utilisé"
"Quota are not available","Le quota d'utilisation n'est pas disponible"
"Kiwiz quota alert ","Alert de quota kiwiz"
"Your quota has reached: %quota %","Votre quota à atteint %quota %"
"Kiwiz","Kiwiz"
"Kiwiz Settings","Configuration"
"Kiwiz Authentication","Authentification"
"Authentication","Authentification"
"Quota","Quota"
"Quota information","Informations sur les quotas"
"Quota alerting","Alerte de quota"
"Enable quota cron","Activer le cron d'alert de quota"
"Each night, your current quotas will be checked on Kiwiz. An email will be sent according
                        to the threshold defined below","Toutes les nuits, votre quota d'utilisation sera vérifié sur Kiwiz. Un email vous sera envoyé en fonction des seuils définis ci-dessous"
"Quota email alert","Template d'email utilisé"
"Email alert","Template d'email utilisé"
"Quota email threshold","Quota d'utilisation pour l'alerte email"
"Separate each percentage number by a comma. You will receive an email for each threshold you defined here. Leave empty if you don't want to receive emails.","Séparez chaque seuil par une virgule. Laissez vide si vous ne voulez pas recevoir d'email. "
"Email's receiver","Destinataire de l'email"
"Email's receiver's name","Nom du destinataire de l'email"
"General configuration","Configuration générale"
"API url","API url"
"Username","Nom d'utilisateur"
"Password","Mot de passe"
"Subscription Id","ID de souscription"
"Enable logs","Activer les logs"
"Failure alerting","Alerte d'échec"
"Failure":"Échec"
"Kiwiz failure alert","Alerte d'échec Kiwiz"
"Test mode","Test mode"
"Enable this in development or test environment. All data sent to kiwiz is stored but ignored for closures","Activez cette configuration en test ou en développement. Toutes les factures et avoirs envoyés ne seront pas pris en compte dans la cloture Kiwiz"
"Enable processing of failed synchronization.","Activez la tâche planifiée pour les certifications ayant échoué."
"Once a day, new attempt of all failed synchronization will be executed.
                        If you need a shorter schedule, you can set a manual cron (check documentation)","La tâche planifiée sera exécutée une fois par jour. Si vous voulez changer la fréquence vous pouvez créer votre propre cron à partir de la commande CLI (cf documentation)"
"Token","Jeton"
"Attributes configuration","Configuration des attributs"
"Attribute to map EAN to","Attribut correspondant à la valeur EAN du produit"
"Attribute to map manufacturer to","Attribut correspondant à la valeur fabriquant du produit".
"Kiwiz synchronization status","Statut de synchronisation Kiwiz"
"Send to Kiwiz","Envoyer à Kiwiz"
"Creditmemo document", "L'avoir"
"Invoice document", "Le document facture"
"Certified","Certifié"
"Not certified","Non certifié"
"You're not allowed to access this resource","Vous n'êtes pas autorisé à acceder à cette ressource"
"The install date is not defined","La date d'installation du module n'est pas définie"
"The document has not been certified yet","Le document n'a pas encore été certifié"
"<p>Since January 2018, all B2C companies need to certify their deals (invoices and credit memos). Known as the ""2018 Anti-fraud TVA Law"", the law is practical and controls are currently on going.</p><p>Kiwiz is a deal certification solution, entirely independant : you don't need to change your billing tool, Kiwiz connects itself to your online store and keeps all your data in the Blockchain.<br/>Magento, Prestashop, Drupal... all CMS are compatible, even your own.</p><p>Avoid a 7500€ fine and certify your invoices and credit memos right now with Kiwiz.</p>","<p>Depuis Janvier 2018, toutes les sociétés B2C ont l'obligation de certifier leurs transactions (factures et avoirs). Connue sous le nom ""Loi anti fraude TVA 2018"", la loi est applicable et des contrôles sont déjà en cours.</p><p>Kiwiz est une solution de certification des transactions, totalement autonome : nul besoin de changer votre système de facturation, Kiwiz se connecte à votre boutique en ligne et stocke vos données dans la BlockChain.<br/>Magento, Prestashop, Drupal... tous les CMS sont compatibles, même un CMS propriétaire.</p><p>Evitez 7500€ d'amende et certifiez vos transactions à moindre coût avec Kiwiz.</p>"
"Go to the website","Aller sur le site"
"An error has occurred, please try again later","Une erreur est survenue, merci de réessayer ultérieurement",
"Error during synchronizing to Kiwiz: Empty response from API","Erreur lors de l'envoi à Kiwiz : La requête ne retourne aucune donnée",
"Kiwiz is still not configured","Kiwiz n'est toujours pas configuré"